Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2023-11-11T16:00:00.000Z,Liverpool,Brentford,home,2.15,114.99999999999999,35.08064516129033
2024-12-25T16:00:00.000Z,Manchester City,Everton,home,2.09,0,35.08064516129033
2023-03-01T16:00:00.000Z,Liverpool,Wolves,home,1.77,77,34.53237410071942
2025-04-12T16:00:00.000Z,Arsenal,Brentford,home,1.73,0,34.45945945945946
2024-03-01T16:00:00.000Z,Tottenham,Crystal Palace,home,2.04,104,34.07142857142857
2023-02-19T16:00:00.000Z,Tottenham,West Ham,home,2.04,104,34.04761904761905
2022-11-11T16:00:00.000Z,Tottenham,Leeds,home,1.7,70,34.013605442176875
2023-05-25T16:00:00.000Z,Manchester Utd,Chelsea,home,1.81,81,33.9568345323741
2022-09-03T16:00:00.000Z,Brighton,Leicester,home,2.17,117,33.5195530726257
2024-05-10T16:00:00.000Z,Everton,Sheff Utd,home,1.78,78,33.07086614173228
2025-05-20T16:00:00.000Z,Manchester City,Bournemouth,home,2.14,114.00000000000001,32.78688524590164
2024-11-29T16:00:00.000Z,Nottingham Forest,Ipswich,home,1.82,82,32.29032258064516
2023-02-13T16:00:00.000Z,Liverpool,Everton,home,1.87,87.00000000000001,32.11267605633803
2024-12-25T16:00:00.000Z,Chelsea,Fulham,home,1.91,-100,32.10526315789473
2024-10-05T16:00:00.000Z,Chelsea,Nottingham Forest,home,1.95,0,31.865671641791042
2024-11-09T16:00:00.000Z,Liverpool,Aston Villa,home,1.97,97,31.865671641791042
2023-12-16T16:00:00.000Z,Arsenal,Brighton,home,1.91,90.99999999999999,31.57894736842105
2023-02-03T16:00:00.000Z,Brentford,Southampton,home,2,100,31.445783132530117
2023-12-08T16:00:00.000Z,Manchester Utd,Bournemouth,home,1.73,-100,31.208053691275172
2023-12-01T16:00:00.000Z,Brentford,Luton,home,1.79,79,31.167883211678827
2022-10-28T16:00:00.000Z,Newcastle,Aston Villa,home,1.93,93,30.74534161490683
2024-02-24T16:00:00.000Z,Arsenal,Newcastle,home,2.11,110.99999999999999,30.241935483870968
2023-05-27T16:00:00.000Z,Manchester Utd,Fulham,home,1.92,92,29.555555555555554
2024-12-13T16:00:00.000Z,Newcastle,Leicester,home,1.95,95,29.41176470588236
2023-01-14T16:00:00.000Z,Brentford,Bournemouth,home,1.98,98,29.38775510204082
2025-04-11T16:00:00.000Z,Nottingham Forest,Everton,home,2.21,-100,29.30232558139535
2025-04-03T16:00:00.000Z,Chelsea,Tottenham,home,1.75,75,29.139072847682122
2024-10-04T16:00:00.000Z,Manchester City,Fulham,home,1.88,87.99999999999999,28.695652173913047
2023-10-06T16:00:00.000Z,Fulham,Sheff Utd,home,1.8,80,27.391304347826086
2022-10-19T16:00:00.000Z,Liverpool,West Ham,home,1.84,84.00000000000001,27.131782945736433
2023-12-17T16:00:00.000Z,Liverpool,Manchester Utd,home,2.05,0,27.016129032258064
2023-08-25T16:00:00.000Z,Chelsea,Luton,home,2,100,26.923076923076927
2024-12-15T16:00:00.000Z,Manchester City,Manchester Utd,home,2.07,-100,26.853146853146853
2024-01-31T16:00:00.000Z,Liverpool,Chelsea,home,1.75,75,26.644736842105264
2023-03-12T16:00:00.000Z,Newcastle,Wolves,home,1.76,76,26.42384105960265
2025-05-03T16:00:00.000Z,Arsenal,Bournemouth,home,1.77,-100,26.133333333333336
2024-03-02T16:00:00.000Z,Manchester City,Manchester Utd,home,1.86,86.00000000000001,26.05042016806723
2025-04-01T16:00:00.000Z,Arsenal,Fulham,home,2.08,108,25.925925925925924
2023-03-03T16:00:00.000Z,Brighton,West Ham,home,1.82,82,25.714285714285715
2024-11-22T16:00:00.000Z,Aston Villa,Crystal Palace,home,1.87,0,25.50955414012739
2024-02-03T16:00:00.000Z,Sheff Utd,Aston Villa,away,1.71,71,-4.185858585858585
2022-10-15T16:00:00.000Z,Southampton,West Ham,away,2.1,0,-4.191176470588235
2025-03-10T16:00:00.000Z,West Ham,Newcastle,away,1.91,90.99999999999999,-4.197952218430034
2022-10-15T16:00:00.000Z,Leeds,Arsenal,away,1.98,98,-4.228571428571429
2025-05-10T16:00:00.000Z,Bournemouth,Aston Villa,away,1.96,96,-4.241379310344828
2024-09-21T16:00:00.000Z,Crystal Palace,Manchester Utd,away,1.93,0,-4.258741258741258
2025-04-25T16:00:00.000Z,Southampton,Fulham,away,1.87,87.00000000000001,-4.260674157303371
2023-01-03T16:00:00.000Z,Everton,Brighton,away,1.96,96,-4.28
2024-11-01T16:00:00.000Z,Ipswich,Leicester,away,1.91,0,-4.2898550724637685
2024-10-18T16:00:00.000Z,Southampton,Leicester,away,1.91,90.99999999999999,-4.2961165048543695
2023-11-03T16:00:00.000Z,Fulham,Manchester Utd,away,1.94,94,-4.3125
2025-03-09T16:00:00.000Z,Manchester Utd,Arsenal,away,1.89,0,-4.324210526315789
2023-11-24T16:00:00.000Z,Nottingham Forest,Brighton,away,1.81,81,-4.333333333333333
2023-03-04T16:00:00.000Z,Southampton,Leicester,away,1.78,-100,-4.365671641791044
2024-01-21T16:00:00.000Z,Bournemouth,Liverpool,away,1.78,78,-4.371428571428571
2024-12-21T16:00:00.000Z,Everton,Chelsea,away,2.03,0,-4.391578947368421
2022-11-05T16:00:00.000Z,Chelsea,Arsenal,away,1.85,85.00000000000001,-4.4106463878327
2024-05-11T16:00:00.000Z,Nottingham Forest,Chelsea,away,2,100,-4.426666666666667
2024-10-05T16:00:00.000Z,Everton,Newcastle,away,2.14,0,-4.436619718309859
2024-12-25T16:00:00.000Z,Southampton,West Ham,away,1.95,95,-4.452296819787986
2024-03-01T16:00:00.000Z,Nottingham Forest,Liverpool,away,1.87,87.00000000000001,-4.454901960784314
2024-02-16T16:00:00.000Z,Brentford,Liverpool,away,2,100,-4.461363636363636
2024-02-18T16:00:00.000Z,Luton,Manchester Utd,away,1.86,86.00000000000001,-4.485714285714286
2022-11-12T16:00:00.000Z,Wolves,Arsenal,away,1.87,87.00000000000001,-4.496666666666666
2025-02-21T16:00:00.000Z,Leicester,Brentford,away,1.72,72,-4.504615384615384
2023-05-20T16:00:00.000Z,Nottingham Forest,Arsenal,away,2.04,-100,-4.516129032258064
2024-05-02T16:00:00.000Z,Chelsea,Tottenham,away,2.04,-100,-4.516129032258065
2023-10-21T16:00:00.000Z,Chelsea,Arsenal,away,1.88,0,-4.538709677419354
2023-04-15T16:00:00.000Z,Nottingham Forest,Manchester Utd,away,1.81,81,-4.538947368421053
2024-04-02T16:00:00.000Z,Nottingham Forest,Fulham,away,1.82,-100,-4.55078125
2023-01-20T16:00:00.000Z,Bournemouth,Nottingham Forest,away,1.82,0,-4.552238805970148
2024-09-20T16:00:00.000Z,Fulham,Newcastle,away,1.97,-100,-4.553956834532374
2023-11-04T16:00:00.000Z,Newcastle,Arsenal,away,1.82,-100,-4.571984435797666
2025-04-05T16:00:00.000Z,Manchester Utd,Manchester City,away,1.75,0,-4.578461538461538
2024-03-01T16:00:00.000Z,Fulham,Brighton,away,2.07,-100,-4.581497797356828
2023-02-10T16:00:00.000Z,West Ham,Chelsea,away,1.8,0,-4.635294117647058
2025-01-15T16:00:00.000Z,Everton,Aston Villa,away,1.92,92,-4.637499999999999
2023-04-14T16:00:00.000Z,Wolves,Brentford,away,1.85,-100,-4.645522388059701
2024-10-18T16:00:00.000Z,Fulham,Aston Villa,away,2.08,108,-4.6755555555555555
2024-05-03T16:00:00.000Z,Luton,Everton,away,1.84,0,-4.677419354838709
2025-04-04T16:00:00.000Z,Crystal Palace,Brighton,away,2.05,-100,-4.681222707423581
2024-04-12T16:00:00.000Z,Burnley,Brighton,away,2.1,0,-4.712328767123288
2022-11-05T16:00:00.000Z,Southampton,Newcastle,away,2,100,-4.7142857142857135
2024-12-06T16:00:00.000Z,Crystal Palace,Manchester City,away,1.84,0,-4.716279069767442
2023-12-07T16:00:00.000Z,Everton,Newcastle,away,1.9,-100,-4.736666666666666
2023-05-12T16:00:00.000Z,Leeds,Newcastle,away,2,0,-4.736842105263158
2022-10-21T16:00:00.000Z,Everton,Crystal Palace,away,2.1,-100,-4.776371308016877
2025-01-14T16:00:00.000Z,West Ham,Fulham,away,2.04,-100,-4.778181818181818
2023-11-27T16:00:00.000Z,Fulham,Wolves,away,1.76,-100,-4.793103448275862
2024-10-26T16:00:00.000Z,Crystal Palace,Tottenham,away,2.09,-100,-4.816901408450704
2024-02-16T16:00:00.000Z,Fulham,Aston Villa,away,1.88,87.99999999999999,-4.861111111111112
2024-08-30T16:00:00.000Z,Everton,Bournemouth,away,1.71,71,-4.861313868613139
2024-12-20T16:00:00.000Z,West Ham,Brighton,away,1.89,0,-4.896265560165975
2023-12-21T16:00:00.000Z,Crystal Palace,Brighton,away,1.94,0,-4.911475409836067
2024-02-10T16:00:00.000Z,Nottingham Forest,Newcastle,away,1.78,78,-4.929032258064516
2022-08-19T16:00:00.000Z,Crystal Palace,Aston Villa,away,2.13,-100,-4.935064935064935
2024-03-02T16:00:00.000Z,Luton,Aston Villa,away,1.79,79,-4.948837209302326
2023-11-11T16:00:00.000Z,Bournemouth,Newcastle,away,2.09,-100,-4.95
2023-11-04T16:00:00.000Z,Nottingham Forest,Aston Villa,away,2.09,-100,-4.994594594594594
2025-05-24T16:00:00.000Z,Tottenham,Brighton,away,2.14,114.00000000000001,-5.0181818181818185
2023-01-03T16:00:00.000Z,Leicester,Fulham,away,1.81,81,-5.055555555555555
2024-02-02T16:00:00.000Z,Burnley,Fulham,away,1.77,0,-5.095588235294117
2024-11-29T16:00:00.000Z,Wolves,Bournemouth,away,1.93,93,-5.1265822784810124
2024-10-25T16:00:00.000Z,Leicester,Nottingham Forest,away,2.11,110.99999999999999,-5.133333333333334
2022-09-01T16:00:00.000Z,Leicester,Manchester Utd,away,1.83,83,-5.1466666666666665
2024-03-30T16:00:00.000Z,Brentford,Manchester Utd,away,2.14,0,-5.147058823529412
2023-10-20T16:00:00.000Z,Bournemouth,Wolves,away,1.82,82,-5.185185185185184
2023-05-04T16:00:00.000Z,Brighton,Manchester Utd,away,1.91,-100,-5.203883495145631
2024-12-04T16:00:00.000Z,Newcastle,Liverpool,away,2.19,0,-5.235294117647059
2024-10-04T16:00:00.000Z,Crystal Palace,Liverpool,away,2.04,104,-5.241666666666667
2024-12-05T16:00:00.000Z,Bournemouth,Tottenham,away,1.89,-100,-5.242718446601942
2024-11-22T16:00:00.000Z,Everton,Brentford,away,1.82,0,-5.246511627906976
