Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2023-01-20T16:00:00.000Z,Leicester,Brighton,2-2,+0.5/+1,HOME,1.860,86.00,WIN,0.5000,F1:0.5,home
2023-01-20T16:00:00.000Z,Southampton,Aston Villa,0-1,0,HOME,1.880,-100.00,LOSS,0.0000,F1:0,away
2023-01-20T16:00:00.000Z,Bournemouth,Nottingham Forest,1-1,0,HOME,2.000,0.00,PUSH,0.0000,F1:0,draw
2023-01-21T16:00:00.000Z,Crystal Palace,Newcastle,0-0,+0.5/+1,HOME,1.830,83.00,WIN,0.5000,F1:0.5,home
2023-01-21T16:00:00.000Z,Leeds,Brentford,0-0,0/-0.5,HOME,2.020,0.00,PUSH,0.0000,F1:0,draw
2023-01-21T16:00:00.000Z,Manchester City,Wolves,3-0,-2,AWAY,1.730,-100.00,LOSS,-2.0000,F1:-2,home
2023-01-23T16:00:00.000Z,Fulham,Tottenham,0-1,0/+0.5,HOME,2.060,-100.00,LOSS,0.0000,F1:0,away
2023-02-03T16:00:00.000Z,Everton,Arsenal,4-0,+1/+1.5,HOME,1.780,78.00,WIN,1.0000,F1:1,home
2023-02-03T16:00:00.000Z,Wolves,Liverpool,3-0,+0.5/+1,HOME,1.730,73.00,WIN,0.5000,F1:0.5,home
2023-02-03T16:00:00.000Z,Aston Villa,Leicester,2-4,0/-0.5,HOME,1.820,-100.00,LOSS,0.0000,F1:0,away
2023-02-03T16:00:00.000Z,Chelsea,Fulham,0-0,-1,AWAY,1.890,89.00,WIN,-1.0000,F1:-1,away
2023-02-03T16:00:00.000Z,Manchester Utd,Crystal Palace,2-1,-1/-1.5,AWAY,2.040,0.00,PUSH,-1.0000,F1:-1,draw
2023-02-03T16:00:00.000Z,Brighton,Bournemouth,0-2,-1/-1.5,AWAY,2.090,0.00,PUSH,-1.0000,F1:-1,draw
2023-02-04T16:00:00.000Z,Nottingham Forest,Leeds,1-0,0,HOME,1.920,92.00,WIN,0.0000,F1:0,home
2023-02-05T16:00:00.000Z,Tottenham,Manchester City,1-0,+0.5/+1,HOME,1.810,81.00,WIN,0.5000,F1:0.5,home
2023-02-08T16:00:00.000Z,Manchester Utd,Leeds,2-2,-1/-1.5,AWAY,1.800,80.00,WIN,-1.0000,F1:-1,away
